location,amount,lat,lon
 CITY LOT 21,1085,43.0481221,-76.1474244
200 LEXINGTON AVE,1085,43.047029,-76.121232
100 ELDORADO ST,1080,43.063417,-76.122402
100 OLIVE ST,1080,43.0567557,-76.1933925
900 HARRISON ST,1070,43.044117,-76.136422
100 WOODBINE AVE,1060,43.0684852,-76.1102028
511 STATE ST S,1050,0.0,0.0
100 BRYANT AVE,1045,43.047359,-76.179027
200 CLINTON ST N,1045,43.051417,-76.153402
100 HERBST AVE,1040,43.058963,-76.124309
300 FAYETTE ST W,1035,43.04900685,-76.15629208375377
300 WASHINGTON ST W,1035,43.0497,-76.15569
100 COMSTOCK PL,1000,43.046212,-76.130566
500 COMSTOCK AVE,1000,43.041428,-76.130383
300 ROOSEVELT AVE,1000,43.0334904,-76.1176299
